Fungal infection,Clotrimazole, Fluconazole, Itraconazole, Terbinafine
Allergy,Loratadine, Cetirizine, Diphenhydramine, Fexofenadine
GERD,Esomeprazole, Lansoprazole, Famotidine, Rabeprazole
Chronic cholestasis,Ursodeoxycholic acid, Cholestyramine, Rifampin, Phenobarbital
Drug Reaction,Diphenhydramine, Prednisone, Epinephrine,
Peptic ulcer disease,Omeprazole, Ranitidine, Sucralfate, Clarithromycin
AIDS,Abacavir, Zidovudine, Efavirenz, Lamivudine
Diabetes,Metformin, Insulin, Glipizide, Sitagliptin
Gastroenteritis,Loperamide, Bismuth subsalicylate, ORS, Ondansetron
Bronchial Asthma,Salbutamol, Budesonide, Montelukast, Acebrophylline
Hypertension,Lisinopril, Metoprolol, Amlodipine, Hydrochlorothiazide
Migraine,Sumatriptan, Rizatriptan, Propranolol, Topiramate
Cervical spondylosis,Ibuprofen, Diclofenac, Tizanidine, Gabapentin
Paralysis (brain hemorrhage),Mannitol, Nimodipine, Phenytoin, Antihypertensives
Jaundice,Ursodeoxycholic acid, Cholestyramine, Vitamin K, Antivirals
Malaria,Chloroquine, Artemether-lumefantrine, Quinine, Mefloquine
Chicken pox,Acyclovir, Antihistamines, Paracetamol,
Dengue,Paracetamol, ORS, Platelet transfusion,
Typhoid,Ciprofloxacin, Azithromycin, Ceftriaxone,
Hepatitis A,Supportive care, Rest, Hydration, Antiemetics
Hepatitis B,Tenofovir, Entecavir, Peginterferon alfa-2a,
Hepatitis C,Sofosbuvir, Ledipasvir, Ribavirin,
Hepatitis D,Peginterferon alfa-2a, Supportive care,,
Hepatitis E,Supportive care, Rest, Hydration,
Alcoholic hepatitis,Prednisolone, Pentoxifylline, Nutritional support,
Tuberculosis,Isoniazid, Rifampin, Ethambutol, Pyrazinamide
Common Cold,Paracetamol, Antihistamines, Pseudoephedrine,
Pneumonia,Amoxicillin, Azithromycin, Levofloxacin,
Dimorphic hemorrhoids(piles),Hydrocortisone creams, Lidocaine, Diosmin, Fiber supplements
Heart attack,Aspirin, Nitroglycerin, Metoprolol, Lisinopril
Varicose veins,Compression stockings, Sclerotherapy, Diosmin,
Hypothyroidism,Levothyroxine,,,
Hyperthyroidism,Methimazole, Propylthiouracil, Propranolol,
Hypoglycemia,Glucose tablets, Glucagon injection, Dextrose infusion,
Osteoarthritis,Acetaminophen, Ibuprofen, Topical analgesics,
Arthritis,NSAIDs, DMARDs, Etanercept,
(vertigo) Paroxysmal Positional Vertigo,Meclizine, Betahistine, Vestibular rehab,
Acne,Benzoyl peroxide, Clindamycin, Tretinoin, Isotretinoin
Urinary tract infection,Nitrofurantoin, Trimethoprim-sulfamethoxazole, Ciprofloxacin,
Psoriasis,Topical corticosteroids, Methotrexate, Adalimumab,
Impetigo,Mupirocin ointment, Cephalexin, Dicloxacillin,
